 format: day,hour,forecast,value  location:53_114 Start : 20160301 
 1,0200,+4,10.000000 
 1,0200,+7,10.000000 
 1,0200,+10,10.000000 
 1,0200,+13,10.000000 
 1,0200,+16,10.000000 
 1,0200,+19,10.000000 
 1,0200,+22,10.000000 
 1,0200,+25,10.000000 
 1,0200,+28,10.000000 
 1,0200,+31,10.000000 
 1,0200,+34,10.000000 
 1,0200,+37,10.000000 
 1,0200,+40,20.000000 
 1,0200,+43,20.000000 
 1,0200,+46,20.000000 
 1,0200,+49,20.000000 
 1,0200,+52,20.000000 
 1,0200,+55,20.000000 
 1,0200,+58,20.000000 
 1,0200,+61,20.000000 
 1,0500,+4,11.000000 
 1,0500,+7,11.000000 
 1,0500,+10,11.000000 
 1,0500,+13,11.000000 
 1,0500,+16,11.000000 
 1,0500,+19,11.000000 
 1,0500,+22,11.000000 
 1,0500,+25,10.000000 
 1,0500,+28,10.000000 
 1,0500,+31,10.000000 
 1,0500,+34,10.000000 
 1,0500,+37,20.000000 
 1,0500,+40,20.000000 
 1,0500,+43,20.000000 
 1,0500,+46,20.000000 
 1,0500,+49,20.000000 
 1,0500,+52,20.000000 
 1,0500,+55,20.000000 
 1,0500,+58,20.000000 
 1,0800,+4,0.000000 
 1,0800,+7,0.000000 
 1,0800,+10,1.000000 
 1,0800,+13,1.000000 
 1,0800,+16,0.000000 
 1,0800,+19,0.000000 
 1,0800,+22,0.000000 
 1,0800,+25,0.000000 
 1,0800,+28,10.000000 
 1,0800,+31,10.000000 
 1,0800,+34,20.000000 
 1,0800,+37,20.000000 
 1,0800,+40,20.000000 
 1,0800,+43,20.000000 
 1,0800,+46,20.000000 
 1,0800,+49,20.000000 
 1,0800,+52,20.000000 
 1,0800,+55,20.000000 
 1,1100,+4,0.000000 
 1,1100,+7,1.000000 
 1,1100,+10,1.000000 
 1,1100,+13,0.000000 
 1,1100,+16,0.000000 
 1,1100,+19,0.000000 
 1,1100,+22,0.000000 
 1,1100,+25,1.000000 
 1,1100,+28,10.000000 
 1,1100,+31,20.000000 
 1,1100,+34,20.000000 
 1,1100,+37,20.000000 
 1,1100,+40,20.000000 
 1,1100,+43,20.000000 
 1,1100,+46,20.000000 
 1,1100,+49,20.000000 
 1,1100,+52,20.000000 
 1,1400,+4,1.000000 
 1,1400,+7,1.000000 
 1,1400,+10,0.000000 
 1,1400,+13,0.000000 
 1,1400,+16,0.000000 
 1,1400,+19,0.000000 
 1,1400,+22,1.000000 
 1,1400,+25,10.000000 
 1,1400,+28,20.000000 
 1,1400,+31,20.000000 
 1,1400,+34,20.000000 
 1,1400,+37,20.000000 
 1,1400,+40,20.000000 
 1,1400,+43,20.000000 
 1,1400,+46,20.000000 
 1,1400,+49,20.000000 
 1,1700,+4,1.000000 
 1,1700,+7,0.000000 
 1,1700,+10,0.000000 
 1,1700,+13,0.000000 
 1,1700,+16,0.000000 
 1,1700,+19,1.000000 
 1,1700,+22,10.000000 
 1,1700,+25,20.000000 
 1,1700,+28,20.000000 
 1,1700,+31,20.000000 
 1,1700,+34,20.000000 
 1,1700,+37,20.000000 
 1,1700,+40,20.000000 
 1,1700,+43,20.000000 
 1,1700,+46,20.000000 
 1,2000,+4,0.000000 
 1,2000,+7,0.000000 
 1,2000,+10,0.000000 
 1,2000,+13,0.000000 
 1,2000,+16,1.000000 
 1,2000,+19,10.000000 
 1,2000,+22,20.000000 
 1,2000,+25,20.000000 
 1,2000,+28,20.000000 
 1,2000,+31,20.000000 
 1,2000,+34,20.000000 
 1,2000,+37,20.000000 
 1,2000,+40,20.000000 
 1,2000,+43,20.000000 
 1,2000,+46,20.000000 
 1,2000,+49,20.000000 
 1,2000,+52,20.000000 
 1,2000,+55,30.000000 
 1,2000,+58,30.000000 
 1,2000,+61,59.000000 
 1,2000,+64,60.000000 
