,경부,서해안,호남,중부내륙,영동
2012,93.80783777,98.71147851,95.02685332,95.80495146,92.03856517
2013,93.5616554,99.07135975,95.98386437,95.74032915,91.67896629
2014,94.21445212,99.88960689,95.82777504,97.17279575,92.51754894
2015,94.71679101,100.5826141,97.14758464,98.09511378,91.86040517
2016,94.05592233,99.51606719,96.42084455,96.81499852,91.35054573
2017,93.70633876,99.22337318,97.54254029,96.31066089,91.21008251
2018,93.61506968,99.28379954,96.83832855,96.02865122,93.00698345
