0,기네스
1,듀벨
2,버드와이저
3,베를리너
4,블랑
5,산미구엘
6,삿포로
7,스텔라
8,아사히
9,칭따오
10,카스
11,칼스버그
12,코로나
13,코젤
14,크롬바커
15,필라이트
16,필스너
17,하이네켄
18,하이트
19,헤페
20,호가든
