,서울,인천,경기,부산,강원,충청,경상,전라,제주
서울,0,0.024,0.175,0,0.373,0.03,0,0.152,0
인천,0.026,0,0,0,0,0,0,0,0
경기,0.172,0,0.05,0,0.4,0,0,0,0
부산,0,0,0,0,0,0,0.02,0,0
강원권,0.335,0,0.536,0,0.2,0.333,0,0,0
충청권,0.019,0,0,0,1,0.042,0,0.2,0
경상권,0,0,0,0.061,0,0,0,0,0
전라권,0.143,0,0,0,0,0,0.333,0.231,0
제주,0,0,0,0,0,0,0,0,0
