 format: day,hour,forecast,value  location:53_114 Start : 20150301 
 1,0200,+4,304.000000 
 1,0200,+7,290.000000 
 1,0200,+10,311.000000 
 1,0200,+13,324.000000 
 1,0200,+16,343.000000 
 1,0200,+19,2.000000 
 1,0200,+22,187.000000 
 1,0200,+25,252.000000 
 1,0200,+28,267.000000 
 1,0200,+31,227.000000 
 1,0200,+34,181.000000 
 1,0200,+37,152.000000 
 1,0200,+40,173.000000 
 1,0200,+43,167.000000 
 1,0200,+46,173.000000 
 1,0200,+49,197.000000 
 1,0200,+52,225.000000 
 1,0200,+55,299.000000 
 1,0200,+58,305.000000 
 1,0200,+61,305.000000 
 1,0500,+4,290.000000 
 1,0500,+7,311.000000 
 1,0500,+10,324.000000 
 1,0500,+13,343.000000 
 1,0500,+16,2.000000 
 1,0500,+19,187.000000 
 1,0500,+22,252.000000 
 1,0500,+25,267.000000 
 1,0500,+28,227.000000 
 1,0500,+31,181.000000 
 1,0500,+34,152.000000 
 1,0500,+37,173.000000 
 1,0500,+40,167.000000 
 1,0500,+43,173.000000 
 1,0500,+46,197.000000 
 1,0500,+49,225.000000 
 1,0500,+52,299.000000 
 1,0500,+55,305.000000 
 1,0500,+58,305.000000 
 1,0800,+4,311.000000 
 1,0800,+7,325.000000 
 1,0800,+10,221.000000 
 1,0800,+13,195.000000 
 1,0800,+16,200.000000 
 1,0800,+19,227.000000 
 1,0800,+22,231.000000 
 1,0800,+25,229.000000 
 1,0800,+28,181.000000 
 1,0800,+31,173.000000 
 1,0800,+34,172.000000 
 1,0800,+37,168.000000 
 1,0800,+40,173.000000 
 1,0800,+43,197.000000 
 1,0800,+46,224.000000 
 1,0800,+49,302.000000 
 1,0800,+52,305.000000 
 1,0800,+55,305.000000 
 1,1100,+4,325.000000 
 1,1100,+7,221.000000 
 1,1100,+10,195.000000 
 1,1100,+13,200.000000 
 1,1100,+16,227.000000 
 1,1100,+19,231.000000 
 1,1100,+22,229.000000 
 1,1100,+25,181.000000 
 1,1100,+28,173.000000 
 1,1100,+31,172.000000 
 1,1100,+34,168.000000 
 1,1100,+37,173.000000 
 1,1100,+40,197.000000 
 1,1100,+43,224.000000 
 1,1100,+46,302.000000 
 1,1100,+49,305.000000 
 1,1100,+52,305.000000 
 1,1400,+4,221.000000 
 1,1400,+7,195.000000 
 1,1400,+10,200.000000 
 1,1400,+13,227.000000 
 1,1400,+16,231.000000 
 1,1400,+19,229.000000 
 1,1400,+22,181.000000 
 1,1400,+25,173.000000 
 1,1400,+28,172.000000 
 1,1400,+31,168.000000 
 1,1400,+34,173.000000 
 1,1400,+37,197.000000 
 1,1400,+40,224.000000 
 1,1400,+43,302.000000 
 1,1400,+46,305.000000 
 1,1400,+49,305.000000 
 1,1700,+4,195.000000 
 1,1700,+7,200.000000 
 1,1700,+10,227.000000 
 1,1700,+13,231.000000 
 1,1700,+16,229.000000 
