 format: day,hour,forecast,value  location:102_83 Start : 20160301 
 1,0200,+4,305.000000 
 1,0200,+7,294.000000 
 1,0200,+10,289.000000 
 1,0200,+13,289.000000 
 1,0200,+16,266.000000 
 1,0200,+19,269.000000 
 1,0200,+22,243.000000 
 1,0200,+25,252.000000 
 1,0200,+28,239.000000 
 1,0200,+31,235.000000 
 1,0200,+34,223.000000 
 1,0200,+37,233.000000 
 1,0200,+40,254.000000 
 1,0200,+43,260.000000 
 1,0200,+46,278.000000 
 1,0200,+49,249.000000 
 1,0200,+52,248.000000 
 1,0200,+55,236.000000 
 1,0200,+58,214.000000 
 1,0200,+61,245.000000 
 1,0500,+4,294.000000 
 1,0500,+7,289.000000 
 1,0500,+10,289.000000 
 1,0500,+13,266.000000 
 1,0500,+16,269.000000 
 1,0500,+19,243.000000 
 1,0500,+22,252.000000 
 1,0500,+25,239.000000 
 1,0500,+28,235.000000 
 1,0500,+31,223.000000 
 1,0500,+34,233.000000 
 1,0500,+37,254.000000 
 1,0500,+40,260.000000 
 1,0500,+43,278.000000 
 1,0500,+46,249.000000 
 1,0500,+49,248.000000 
 1,0500,+52,236.000000 
 1,0500,+55,214.000000 
 1,0500,+58,245.000000 
 1,0800,+4,300.000000 
 1,0800,+7,289.000000 
 1,0800,+10,317.000000 
 1,0800,+13,284.000000 
 1,0800,+16,235.000000 
 1,0800,+19,237.000000 
 1,0800,+22,238.000000 
 1,0800,+25,242.000000 
 1,0800,+28,227.000000 
 1,0800,+31,233.000000 
 1,0800,+34,262.000000 
 1,0800,+37,270.000000 
 1,0800,+40,288.000000 
 1,0800,+43,193.000000 
 1,0800,+46,215.000000 
 1,0800,+49,225.000000 
 1,0800,+52,214.000000 
 1,0800,+55,226.000000 
 1,1100,+4,289.000000 
 1,1100,+7,317.000000 
 1,1100,+10,284.000000 
 1,1100,+13,235.000000 
 1,1100,+16,237.000000 
 1,1100,+19,238.000000 
 1,1100,+22,242.000000 
 1,1100,+25,227.000000 
 1,1100,+28,233.000000 
 1,1100,+31,262.000000 
 1,1100,+34,270.000000 
 1,1100,+37,288.000000 
 1,1100,+40,193.000000 
 1,1100,+43,215.000000 
 1,1100,+46,225.000000 
 1,1100,+49,214.000000 
 1,1100,+52,226.000000 
 1,1400,+4,317.000000 
 1,1400,+7,284.000000 
 1,1400,+10,235.000000 
 1,1400,+13,237.000000 
 1,1400,+16,238.000000 
 1,1400,+19,242.000000 
 1,1400,+22,227.000000 
 1,1400,+25,233.000000 
 1,1400,+28,262.000000 
 1,1400,+31,270.000000 
 1,1400,+34,288.000000 
 1,1400,+37,193.000000 
 1,1400,+40,215.000000 
 1,1400,+43,225.000000 
 1,1400,+46,214.000000 
 1,1400,+49,226.000000 
 1,1700,+4,284.000000 
 1,1700,+7,235.000000 
 1,1700,+10,237.000000 
 1,1700,+13,238.000000 
 1,1700,+16,242.000000 
 1,1700,+19,227.000000 
 1,1700,+22,233.000000 
 1,1700,+25,262.000000 
 1,1700,+28,270.000000 
 1,1700,+31,288.000000 
 1,1700,+34,193.000000 
 1,1700,+37,215.000000 
 1,1700,+40,225.000000 
 1,1700,+43,214.000000 
 1,1700,+46,226.000000 
 1,2000,+4,304.000000 
 1,2000,+7,223.000000 
 1,2000,+10,251.000000 
 1,2000,+13,243.000000 
 1,2000,+16,221.000000 
 1,2000,+19,253.000000 
 1,2000,+22,258.000000 
 1,2000,+25,282.000000 
 1,2000,+28,269.000000 
 1,2000,+31,233.000000 
 1,2000,+34,219.000000 
 1,2000,+37,214.000000 
 1,2000,+40,196.000000 
 1,2000,+43,210.000000 
 1,2000,+46,238.000000 
 1,2000,+49,285.000000 
 1,2000,+52,330.000000 
 1,2000,+55,190.000000 
 1,2000,+58,199.000000 
 1,2000,+61,192.000000 
 1,2000,+64,187.000000 
 1,2000,+67,189.000000 
 1,2300,+4,223.000000 
 1,2300,+7,251.000000 
 1,2300,+10,243.000000 
 1,2300,+13,221.000000 
 1,2300,+16,253.000000 
 1,2300,+19,258.000000 
 1,2300,+22,282.000000 
 1,2300,+25,269.000000 
 1,2300,+28,233.000000 
 1,2300,+31,219.000000 
 1,2300,+34,214.000000 
 1,2300,+37,196.000000 
 1,2300,+40,210.000000 
 1,2300,+43,238.000000 
 1,2300,+46,285.000000 
 1,2300,+49,330.000000 
 1,2300,+52,190.000000 
 1,2300,+55,199.000000 
 1,2300,+58,192.000000 
 1,2300,+61,187.000000 
 1,2300,+64,189.000000 
 2,0200,+4,251.000000 
 2,0200,+7,243.000000 
 2,0200,+10,221.000000 
 2,0200,+13,253.000000 
 2,0200,+16,258.000000 
 2,0200,+19,282.000000 
 2,0200,+22,269.000000 
 2,0200,+25,233.000000 
 2,0200,+28,219.000000 
 2,0200,+31,214.000000 
 2,0200,+34,196.000000 
 2,0200,+37,210.000000 
 2,0200,+40,238.000000 
 2,0200,+43,285.000000 
 2,0200,+46,330.000000 
 2,0200,+49,190.000000 
 2,0200,+52,199.000000 
 2,0200,+55,192.000000 
 2,0200,+58,187.000000 
 2,0200,+61,189.000000 
 2,0500,+4,243.000000 
 2,0500,+7,221.000000 
 2,0500,+10,253.000000 
 2,0500,+13,258.000000 
 2,0500,+16,282.000000 
 2,0500,+19,269.000000 
 2,0500,+22,233.000000 
 2,0500,+25,219.000000 
 2,0500,+28,214.000000 
 2,0500,+31,196.000000 
 2,0500,+34,210.000000 
 2,0500,+37,238.000000 
 2,0500,+40,285.000000 
 2,0500,+43,330.000000 
 2,0500,+46,190.000000 
 2,0500,+49,199.000000 
 2,0500,+52,192.000000 
 2,0500,+55,187.000000 
 2,0500,+58,189.000000 
 2,0800,+4,237.000000 
 2,0800,+7,255.000000 
 2,0800,+10,257.000000 
 2,0800,+13,233.000000 
 2,0800,+16,273.000000 
 2,0800,+19,235.000000 
 2,0800,+22,220.000000 
 2,0800,+25,214.000000 
 2,0800,+28,196.000000 
 2,0800,+31,210.000000 
 2,0800,+34,200.000000 
 2,0800,+37,210.000000 
 2,0800,+40,182.000000 
 2,0800,+43,189.000000 
 2,0800,+46,199.000000 
 2,0800,+49,224.000000 
 2,0800,+52,187.000000 
 2,0800,+55,188.000000 
 2,1100,+4,255.000000 
 2,1100,+7,257.000000 
 2,1100,+10,233.000000 
 2,1100,+13,273.000000 
 2,1100,+16,235.000000 
 2,1100,+19,220.000000 
 2,1100,+22,214.000000 
 2,1100,+25,196.000000 
 2,1100,+28,210.000000 
 2,1100,+31,200.000000 
 2,1100,+34,210.000000 
 2,1100,+37,182.000000 
 2,1100,+40,189.000000 
 2,1100,+43,199.000000 
 2,1100,+46,224.000000 
 2,1100,+49,187.000000 
 2,1100,+52,188.000000 
 2,1400,+4,257.000000 
 2,1400,+7,234.000000 
 2,1400,+10,272.000000 
 2,1400,+13,235.000000 
 2,1400,+16,220.000000 
 2,1400,+19,214.000000 
 2,1400,+22,196.000000 
 2,1400,+25,209.000000 
 2,1400,+28,201.000000 
 2,1400,+31,210.000000 
 2,1400,+34,183.000000 
 2,1400,+37,189.000000 
 2,1400,+40,199.000000 
 2,1400,+43,224.000000 
 2,1400,+46,187.000000 
 2,1400,+49,188.000000 
 2,1700,+4,234.000000 
 2,1700,+7,272.000000 
 2,1700,+10,235.000000 
 2,1700,+13,220.000000 
 2,1700,+16,214.000000 
 2,1700,+19,196.000000 
 2,1700,+22,209.000000 
 2,1700,+25,201.000000 
