,2017년01월,2017년02월,2017년03월,2017년04월,2017년05월,2017년06월,2017년07월,2017년08월,2017년09월,2017년10월,2017년11월,2017년12월,계
스웨덴,1008 ,1020 ,1557 ,1724 ,1466 ,1737 ,1446 ,1336 ,1589 ,1844 ,1485 ,1046 ,17258 
폴란드,1147 ,1458 ,1865 ,2040 ,1645 ,1598 ,1892 ,2026 ,1917 ,1837 ,1820 ,1417 ,20662 
덴마크,809 ,763 ,984 ,1002 ,912 ,960 ,1064 ,917 ,1090 ,1329 ,979 ,599 ,11408 
그리스,897 ,883 ,923 ,790 ,693 ,713 ,703 ,675 ,825 ,892 ,701 ,807 ,9502 
스위스,833 ,944 ,1184 ,1824 ,1314 ,1065 ,1459 ,1288 ,1393 ,1728 ,1257 ,900 ,15189 
노르웨이,1492 ,1266 ,1575 ,2109 ,1248 ,1511 ,1406 ,1016 ,1092 ,1351 ,1049 ,757 ,15872 
스페인,1324 ,1382 ,1858 ,2076 ,1923 ,1797 ,2212 ,2520 ,2155 ,2337 ,2272 ,1449 ,23305 
루마니아,1128 ,1217 ,1449 ,1222 ,980 ,829 ,972 ,1019 ,1163 ,1133 ,877 ,708 ,12697 
벨기에,708 ,674 ,1135 ,1100 ,997 ,1097 ,1024 ,1014 ,1130 ,1120 ,972 ,620 ,11591 
구 주 기타,6613 ,7014 ,7884 ,8081 ,7613 ,6914 ,6856 ,7422 ,7993 ,8247 ,7076 ,5870 ,87583 
대양주,15441 ,10856 ,15562 ,22774 ,14965 ,17227 ,15661 ,13270 ,16413 ,15442 ,13147 ,18799 ,189557 
오스트레일리아,11984 ,8550 ,12801 ,19040 ,11518 ,13453 ,12236 ,10362 ,12979 ,12299 ,10190 ,14996 ,150408 
뉴질랜드,2870 ,1964 ,2354 ,3284 ,2833 ,3156 ,2969 ,2408 ,2875 ,2663 ,2470 ,3242 ,33088 
키리바시,62 ,44 ,105 ,83 ,103 ,126 ,79 ,93 ,90 ,54 ,65 ,134 ,1038 
피  지,357 ,174 ,169 ,190 ,258 ,263 ,197 ,269 ,284 ,265 ,259 ,288 ,2973 
대양주 기타,168 ,124 ,133 ,177 ,253 ,229 ,180 ,138 ,185 ,161 ,163 ,139 ,2050 
아프리카주,3601 ,4340 ,4243 ,3927 ,3950 ,3203 ,4188 ,4965 ,5243 ,4646 ,3698 ,3312 ,49316 
남아프리카 공화국,1133 ,1244 ,981 ,915 ,808 ,624 ,843 ,1166 ,981 ,1034 ,590 ,734 ,11053 
나이지리아,175 ,251 ,263 ,187 ,220 ,290 ,253 ,319 ,512 ,217 ,213 ,227 ,3127 
이집트,443 ,560 ,750 ,616 ,587 ,441 ,745 ,762 ,726 ,863 ,859 ,668 ,8020 
아프리카주 기타,1850 ,2285 ,2249 ,2209 ,2335 ,1848 ,2347 ,2718 ,3024 ,2532 ,2036 ,1683 ,27116 
기 타,19483 ,17141 ,24867 ,23828 ,23445 ,22754 ,21069 ,22484 ,23534 ,25218 ,23285 ,22470 ,269578 
교포,19428 ,17084 ,24786 ,23735 ,23380 ,22691 ,21016 ,22438 ,23472 ,25175 ,23233 ,22416 ,268854 
미상,55 ,57 ,81 ,93 ,65 ,63 ,53 ,46 ,62 ,43 ,52 ,54 ,724 
전 체,1220695 ,1252080 ,1233640 ,1075899 ,977889 ,991802 ,1008671 ,1103506 ,1078653 ,1165638 ,1093217 ,1134068 ,13335758 
